Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
parameters                          34              TK_PARAMETERS          -----                  funCallStmt            Yes             -----                 
[                                   34              TK_SQL                 -----                  inputParameters        Yes             -----                 
b5                                  34              TK_ID                  -----                  idList                 Yes             -----                 
-----                               -----           -----                  -----                  inputParameters        No             idList                
,                                   34              TK_COMMA               -----                  more_ids               Yes             -----                 
-----                               -----           -----                  -----                  idList                 No             more_ids              
d5cb34567                           34              TK_ID                  -----                  idList                 Yes             -----                 
-----                               -----           -----                  -----                  more_ids               No             idList                
,                                   34              TK_COMMA               -----                  more_ids               Yes             -----                 
-----                               -----           -----                  -----                  idList                 No             more_ids              
b3b444                              34              TK_ID                  -----                  idList                 Yes             -----                 
-----                               -----           -----                  -----                  more_ids               No             idList                
-----                               -----           -----                  -----                  idList                 Yes            more_ids              
-----                               -----           -----                  -----                  funCallStmt            No             inputParameters       
]                                   34              TK_SQR                 -----                  inputParameters        Yes             -----                 
-----                               -----           -----                  -----                  stmt                   No             funCallStmt           
;                                   34              TK_SEM                 -----                  funCallStmt            Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
write                               35              TK_WRITE               -----                  ioStmt                 Yes             -----                 
(                                   35              TK_OP                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  ioStmt                 No             var                   
c3                                  35              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
)                                   35              TK_CL                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  stmt                   No             ioStmt                
;                                   35              TK_SEM                 -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             Yes            otherStmts            
-----                               -----           -----                  -----                  function               No             stmts                 
return                              36              TK_RETURN              -----                  returnStmt             Yes             -----                 
-----                               -----           -----                  -----                  returnStmt             Yes            optionalReturn        
-----                               -----           -----                  -----                  stmts                  No             returnStmt            
;                                   36              TK_SEM                 -----                  returnStmt             Yes             -----                 
-----                               -----           -----                  -----                  otherFunctions         No             function              
end                                 37              TK_END                 -----                  function               Yes             -----                 
-----                               -----           -----                  -----                  program                No             otherFunctions        
-----                               -----           -----                  -----                  otherFunctions         Yes            otherFunctions        
-----                               -----           -----                  -----                  -----                  No             program               
-----                               -----           -----                  -----                  program                Yes            mainFunction          
